id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,path,cluster
4712,Unisex,Accessories,Watches,Watches,Black,Winter,2016.0,Sports,ADIDAS Unisex Cambridge Analogue Black Dial Watch,/kaggle/input/fashion-product-images-small/myntradataset/images/4712.jpg,0
10495,Women,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Flying Machine Women HS Blue Shirt,/kaggle/input/fashion-product-images-small/myntradataset/images/10495.jpg,0
49924,Women,Apparel,Saree,Sarees,Green,Fall,2012.0,Ethnic,Fabindia Green Maheshwari Maheshwari Zari Saree,/kaggle/input/fashion-product-images-small/myntradataset/images/49924.jpg,0
42669,Women,Apparel,Topwear,Kurtas,Black,Summer,2012.0,Ethnic,Alma Women Black & White Kurta,/kaggle/input/fashion-product-images-small/myntradataset/images/42669.jpg,0
21304,Women,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Celine Dion Women Brown Frame Sunglasses,/kaggle/input/fashion-product-images-small/myntradataset/images/21304.jpg,0
26619,Men,Footwear,Shoes,Sports Shoes,Grey,Summer,2012.0,Sports,Puma Men Grey Sports Shoes,/kaggle/input/fashion-product-images-small/myntradataset/images/26619.jpg,0
36540,Unisex,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,United Colors of Benetton Unisex Brown Belt,/kaggle/input/fashion-product-images-small/myntradataset/images/36540.jpg,0
14176,Men,Accessories,Belts,Belts,Black,Fall,2011.0,Casual,Belmonte Men Thread Black Belts,/kaggle/input/fashion-product-images-small/myntradataset/images/14176.jpg,0
59933,Women,Apparel,Topwear,Kurtas,Multi,Summer,2012.0,Ethnic,Diva Women Multi Coloured Kurta,/kaggle/input/fashion-product-images-small/myntradataset/images/59933.jpg,0
39838,Boys,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Gini and Jony Boys Printed Black T-Shirt,/kaggle/input/fashion-product-images-small/myntradataset/images/39838.jpg,0
12098,Women,Apparel,Topwear,Kurtas,Beige,Fall,2011.0,Ethnic,W Women Printed Beige Kurtas,/kaggle/input/fashion-product-images-small/myntradataset/images/12098.jpg,0
1913,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Nike Mens Seize Victory Black T-shirt,/kaggle/input/fashion-product-images-small/myntradataset/images/1913.jpg,0
25934,Women,Accessories,Scarves,Scarves,Grey,Summer,2012.0,Casual,Femella Women Grey Scarf,/kaggle/input/fashion-product-images-small/myntradataset/images/25934.jpg,0
42534,Women,Apparel,Topwear,Kurtas,Black,Summer,2012.0,Ethnic,Mother Earth Women Black Kurta,/kaggle/input/fashion-product-images-small/myntradataset/images/42534.jpg,0
57614,Women,Personal Care,Skin Care,Sunscreen,Orange,Spring,2017.0,Casual,Lotus Herbals Extreme Sun Block Sunscreen,/kaggle/input/fashion-product-images-small/myntradataset/images/57614.jpg,0
6120,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2011.0,Casual,Puma Men Beach Black Flip Flops,/kaggle/input/fashion-product-images-small/myntradataset/images/6120.jpg,0
34559,Women,Accessories,Bags,Handbags,Pink,Summer,2012.0,Casual,Puma Women Pink Fitness Small Handbag,/kaggle/input/fashion-product-images-small/myntradataset/images/34559.jpg,0
43649,Women,Apparel,Topwear,Tunics,Blue,Summer,2012.0,Casual,ONLY Women Blue Tunic,/kaggle/input/fashion-product-images-small/myntradataset/images/43649.jpg,0
19543,Men,Accessories,Gloves,Gloves,Red,Fall,2011.0,Casual,United Colors of Benetton Men Solid Red Gloves,/kaggle/input/fashion-product-images-small/myntradataset/images/19543.jpg,0
43778,Women,Accessories,Jewellery,Earrings,Gold,Summer,2012.0,Ethnic,Royal Diadem Earrings,/kaggle/input/fashion-product-images-small/myntradataset/images/43778.jpg,0
34229,Men,Apparel,Topwear,Tshirts,Grey,Summer,2013.0,Casual,Proline Men Grey Comfort Fit Polo T-shirt,/kaggle/input/fashion-product-images-small/myntradataset/images/34229.jpg,0
32497,Men,Footwear,Shoes,Casual Shoes,Grey,Summer,2012.0,Casual,Converse Men CT AS 17 NYC Grey Shoes,/kaggle/input/fashion-product-images-small/myntradataset/images/32497.jpg,0
22571,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Highlander Men Black Check Shirt,/kaggle/input/fashion-product-images-small/myntradataset/images/22571.jpg,0
7104,Unisex,Accessories,Bags,Backpacks,Grey,Winter,2015.0,Casual,Wildcraft Unisex Grey Backpack,/kaggle/input/fashion-product-images-small/myntradataset/images/7104.jpg,0
55438,Women,Personal Care,Lips,Lipstick,Pink,Spring,2017.0,Casual,Revlon Mauve Colorburst Lipstick 005,/kaggle/input/fashion-product-images-small/myntradataset/images/55438.jpg,0
6492,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,ADIDAS Men's Fresh lemon Yellow T-shirt,/kaggle/input/fashion-product-images-small/myntradataset/images/6492.jpg,0
45826,Women,Footwear,Shoes,Heels,Blue,Summer,2012.0,Casual,Senorita Women Blue Flats,/kaggle/input/fashion-product-images-small/myntradataset/images/45826.jpg,0
40984,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Gini and Jony Boys United White T-shirt,/kaggle/input/fashion-product-images-small/myntradataset/images/40984.jpg,0
27718,Women,Accessories,Bags,Handbags,Gold,Winter,2015.0,Casual,Murcia Women Gold Handbag,/kaggle/input/fashion-product-images-small/myntradataset/images/27718.jpg,0
48945,Men,Accessories,Jewellery,Ring,Steel,Summer,2013.0,Casual,Revv Men Steel Ring,/kaggle/input/fashion-product-images-small/myntradataset/images/48945.jpg,0
27401,Women,Apparel,Innerwear,Bra,White,Summer,2018.0,Casual,Jockey White Solid Non-Wired Non-Padded Cross Over Bra 1242-0105,/kaggle/input/fashion-product-images-small/myntradataset/images/27401.jpg,0
11296,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Wrangler Men Blue Custom Jeans,/kaggle/input/fashion-product-images-small/myntradataset/images/11296.jpg,0
10198,Women,Accessories,Bags,Handbags,Beige,Winter,2015.0,Casual,Murcia Women Hddcs Beige Handbags,/kaggle/input/fashion-product-images-small/myntradataset/images/10198.jpg,0
15856,Unisex,Footwear,Sandal,Sandals,Red,Fall,2012.0,Casual,Warner Bros Kids Unisex TJ Hit & Chase Flops Red Slippers,/kaggle/input/fashion-product-images-small/myntradataset/images/15856.jpg,0
50953,Women,Apparel,Bottomwear,Jeans,Blue,Winter,2011.0,Casual,Lee Womens Blue Maxi Fit Jeans,/kaggle/input/fashion-product-images-small/myntradataset/images/50953.jpg,0
26787,Men,Apparel,Topwear,Shirts,Beige,Summer,2013.0,Formal,Arrow Men Beige Shirt,/kaggle/input/fashion-product-images-small/myntradataset/images/26787.jpg,0
40928,Boys,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Gini and Jony Boys Rodeo Blue Jeans,/kaggle/input/fashion-product-images-small/myntradataset/images/40928.jpg,0
17460,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,CASIO G-Shock Men Black Analogue-Digital Watch GA-110GB-1ADR G339,/kaggle/input/fashion-product-images-small/myntradataset/images/17460.jpg,0
31110,Boys,Apparel,Bottomwear,Jeans,Grey,Summer,2012.0,Casual,Gini and Jony Boys Washed Grey Jeans,/kaggle/input/fashion-product-images-small/myntradataset/images/31110.jpg,0
51955,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Yelloe Women Black Handbag,/kaggle/input/fashion-product-images-small/myntradataset/images/51955.jpg,0
11708,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Lee Men Check Green Shirts,/kaggle/input/fashion-product-images-small/myntradataset/images/11708.jpg,0
36047,Unisex,Accessories,Bags,Backpacks,Olive,Summer,2012.0,Casual,OTLS Unisex Olive Green Backpack,/kaggle/input/fashion-product-images-small/myntradataset/images/36047.jpg,0
50313,Men,Accessories,Ties,Ties,Brown,Summer,2012.0,Formal,Park Avenue Men Brown Tie,/kaggle/input/fashion-product-images-small/myntradataset/images/50313.jpg,0
45762,Men,Personal Care,Fragrance,Deodorant,Black,Spring,2017.0,Casual,Lomani Men Boss Black Deo,/kaggle/input/fashion-product-images-small/myntradataset/images/45762.jpg,0
17589,Men,Accessories,Eyewear,Sunglasses,Black,Summer,2017.0,Sports,Speedo Men Funky Eyewear Black Sunglasses,/kaggle/input/fashion-product-images-small/myntradataset/images/17589.jpg,0
50599,Men,Apparel,Innerwear,Briefs,Navy Blue,Summer,2016.0,Casual,Chromozome Men Navy Blue Briefs,/kaggle/input/fashion-product-images-small/myntradataset/images/50599.jpg,0
55493,Women,Personal Care,Lips,Lip Gloss,Maroon,Spring,2017.0,Casual,Revlon ColorBurst Bordeaux Lip Gloss 16,/kaggle/input/fashion-product-images-small/myntradataset/images/55493.jpg,0
22336,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,John Players Men Stripes Grey Polo T-Shirt,/kaggle/input/fashion-product-images-small/myntradataset/images/22336.jpg,0
24240,Women,Apparel,Topwear,Kurtis,Purple,Fall,2011.0,Ethnic,La-Emotio Women Purple Kurti,/kaggle/input/fashion-product-images-small/myntradataset/images/24240.jpg,0
48429,Men,Apparel,Topwear,Tshirts,Beige,Summer,2012.0,Casual,French Connection Men Beige & Black Striped T-shirt,/kaggle/input/fashion-product-images-small/myntradataset/images/48429.jpg,0
16212,Women,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Puma Women Move Graphic Black TShirt,/kaggle/input/fashion-product-images-small/myntradataset/images/16212.jpg,0
57173,Women,Apparel,Topwear,Tops,Red,Summer,2012.0,Casual,Elle Women Red Top,/kaggle/input/fashion-product-images-small/myntradataset/images/57173.jpg,0
52210,Women,Accessories,Jewellery,Pendant,White,Fall,2012.0,Casual,Lencia Sterling Silver Pendant,/kaggle/input/fashion-product-images-small/myntradataset/images/52210.jpg,0
5926,Men,Footwear,Shoes,Casual Shoes,White,Summer,2011.0,Casual,ADIDAS Men's Derby Fresh Splash White Shoe,/kaggle/input/fashion-product-images-small/myntradataset/images/5926.jpg,0
42260,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,John Players Men Blue Jeans,/kaggle/input/fashion-product-images-small/myntradataset/images/42260.jpg,0
49706,Men,Free Items,Free Gifts,Free Gifts,Blue,Summer,2012.0,Casual,Park Avenue Men Blue Printed Tie,/kaggle/input/fashion-product-images-small/myntradataset/images/49706.jpg,0
22257,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,Inc. 5 Women Casual Black Heels,/kaggle/input/fashion-product-images-small/myntradataset/images/22257.jpg,0
21681,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fossil Men Black Chronograph Watch CH2697,/kaggle/input/fashion-product-images-small/myntradataset/images/21681.jpg,0
18894,Women,Apparel,Dress,Dresses,Black,Fall,2011.0,Casual,Arrow Woman Lida Black Dress,/kaggle/input/fashion-product-images-small/myntradataset/images/18894.jpg,0
21732,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women Casual Brown Flats,/kaggle/input/fashion-product-images-small/myntradataset/images/21732.jpg,0
39387,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Peter England Men Blue Jeans,/kaggle/input/fashion-product-images-small/myntradataset/images/39387.jpg,0
14630,Women,Apparel,Bottomwear,Skirts,Brown,Fall,2011.0,Casual,United Colors of Benetton Women Check Brown Skirts,/kaggle/input/fashion-product-images-small/myntradataset/images/14630.jpg,0
28973,Women,Apparel,Apparel Set,Kurta Sets,Yellow,Summer,2012.0,Ethnic,Biba Women Yellow & White Printed Churidar Kurta with Dupatta,/kaggle/input/fashion-product-images-small/myntradataset/images/28973.jpg,0
14658,Men,Apparel,Bottomwear,Trousers,Beige,Fall,2011.0,Casual,Probase Men Check Grey Trousers,/kaggle/input/fashion-product-images-small/myntradataset/images/14658.jpg,0
21986,Women,Accessories,Bags,Handbags,Purple,Winter,2015.0,Casual,Murcia Women Purple Casual Handbag,/kaggle/input/fashion-product-images-small/myntradataset/images/21986.jpg,0
25436,Men,Accessories,Socks,Socks,Brown,Summer,2016.0,Casual,Lee Men Tripack Socks,/kaggle/input/fashion-product-images-small/myntradataset/images/25436.jpg,0
8302,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Reebok Men's Premier Aztrec 3 White Orange Shoe,/kaggle/input/fashion-product-images-small/myntradataset/images/8302.jpg,0
